ticket_id,ticket_trace/contact
773,"773-107808, 0"
774,"774-426090, 0"
775,"775, 0"
776,"776-1248-6179-7247-11337-19648-35429-40522-61506-64834-66133-94651-102581-119850-151565-153450-176847-184797-191409-251948-256777-266065-320071-329509-330832-410651-410965-416832-418878-422737-434204-483189-490183, 69"
777,"777, 2"
778,"778-11808, 5"
779,"779-2241-12254-19601-24061-33396-52834-62872-64442-71105-100682-115748-116271-117875-118784-133644-160586-164194-170099-171839-198046-205497-206194-230224-305794-311499-316536-323373-339148-341496-343912-369198-413529-420206-436503-464086, 76"
780,"780, 2"
781,"781-149207-158013-228113-242348-287637-287910-288491-322746-492748, 23"
782,"782-1898-37537-59401-86015-96375-126229-178906-185284-242677-304727-331776-338695-350959-407336-420552-478003, 30"
783,"783, 0"
784,"784-13921-183407-184994-257276-400154, 5"
785,"785-44732, 1"
786,"786, 4"
787,"787-395790-472485, 9"
788,"788-28694-62866-83714-86513-99320-108267-136347-180950-194232-200774-267673-292508-337229-339713-379670-397921-398398-401225-413513-423775, 34"
789,"789-44085-133236-239609-289834-454648-486037, 10"
790,"790-6348-12883-102013-226390, 10"
791,"791-5918-43457-65784-78497-373795, 6"
792,"792-75228-305742-498141, 9"
793,"793-4216-4778-7255-11813-37997-123548-297430, 8"
794,"794-193750-196464-302588-452583, 4"
795,"795-18329-21092-189966-237086-247526-259344-331625-358233-368457-418844-419490, 18"
796,"796-8694, 2"
797,"797, 2"
798,"798-66857-97226-98923-113053-168283-202538-219430-227835-284997-309925-330381-360408-394885-488105-498089, 25"
799,"799-444043, 8"
800,"800-372337, 1"
801,"249-801-30407-329017-337064-442715, 10"
802,"802, 4"
803,"803-33736-69748-73744-129820-222328-297516-433626, 17"
804,"804-1409-92356, 2"
805,"805-19158-212028-215306-252791-279033-283459-304437-375544-417285-471239, 21"
806,"806-33248-261237, 4"
807,"807-103671-113413-151799-232673-271216, 8"
808,"808-26145-80654-392586, 7"
809,"809-222814, 5"
810,"810, 2"
811,"811-13927, 4"
812,"812-5387-49878-76242-85737-237353-245704-277648-384277-429717-473682, 20"
813,"813, 2"
814,"814-217893-255008-355860-421890-480435, 19"
815,"815-479618, 4"
816,"816-437332, 5"
817,"224-817-51435-316595, 8"
818,"818-18604-38062-87223-133703-427781, 13"
819,"819-5312-83650-250070, 7"
820,"820-192942-405436, 11"
821,"821-164378-389158-436758, 5"
822,"100-822-1157-79530-95287-109959-129043-146402-181117-205684-220328-280716-282502-306045-379958-437044-451994-475973, 38"
823,"823-20646-38058-261205, 6"
824,"824, 2"
825,"825-53095-55719-74001-96470-103914-132510-164916-242776-271799-282995-410648, 26"
826,"826, 4"
827,"827-19090-163233-332959, 1"
828,"828-30372-59266-202747-246452-353396, 17"
829,"829, 3"
830,"830, 2"
831,"831-112693, 4"
832,"832-287088-409696, 6"
833,"833, 4"
834,"834, 2"
835,"835-31206-91634-97029-146824-153094-178926-196161-256619-265463-270386-280459-321044-364242-408723-420889-439754-447146-455026-488361-493567, 48"
836,"836-295363, 7"
837,"837-187903, 7"
838,"838-40189, 4"
839,"839, 0"
840,"840, 3"
841,"841, 2"
842,"842, 2"
843,"843, 1"
844,"844-17292-193726-227264-283873-314011, 11"
845,"845, 1"
846,"846-410835, 7"
847,"847-427722, 3"
848,"848-10216-108030-170282-232653-306236-439476, 9"
849,"849-60766, 7"
850,"205-559-850-51845-215655-252724-354483-372904-465114, 24"
851,"851, 2"
852,"852, 2"
853,"853-35528-132780-137819-185535-215106-222826-230940-238195-259660-301043-365506-414974-459933-490066, 32"
854,"854-1387-16071-34233-35471-58580-75699-88129-109102-111470-121868-155378-160740-211141-237283-242098-280273-286862-311058-318602-351923-414231-427288-432456-450432-491478-493537, 52"
855,"855-458602, 1"
856,"106-856-164892-298789-478387-494415, 6"
857,"857-43238-126849-173635-311250-353031-410571-482122, 20"
858,"858-304837-335707, 6"
859,"859-129749-365616-377241-470659-471176, 10"
860,"860-19766, 2"
861,"861, 4"
862,"862, 0"
863,"863-142003-153098-255513-340869-359695-392063-408383-467986-484461-498095, 27"
864,"864, 3"
865,"865-395308, 2"
866,"866-10039, 3"
867,"867-352790, 5"
868,"868, 0"
869,"869, 3"
870,"870-39678-437741, 8"
871,"871, 2"
872,"872-52930-67350-79347-80881-136676-177833-218424-248349-256734-287074-297946-341586-359821-454865-463771-480712, 30"
873,"873-461485, 4"
874,"874-19251-257292-272505-394370-414830-432686, 14"
875,"875-126635-261093-299527, 6"
876,"876, 0"
877,"877, 1"
878,"878-86564-195038-489395, 6"
879,"879-288383-371490, 6"
880,"880-7518-7764-11375-16637-17880-26359-34258-37254-58212-59380-61313-67537-88784-100003-106771-114955-130712-149251-160672-176430-179377-215844-225434-232435-245510-291641-300693-336285-359175-362758-363982-405120-409545-412736-430500-438982-459690-465474-474111, 81"
881,"881, 1"
882,"882-11327-35991-55354-68419-74424-119017-153364-269030-302670-320160-347879-391844-456052, 23"
883,"883-6894-189625-258378, 12"
884,"884-43302-128007-246993-269310-289237-361797-424295-476828-498423, 19"
885,"885, 2"
886,"886, 3"
887,"887-241650, 5"
888,"888-18276-112339, 9"
889,"889-108566-231042-263437-343180-391231-429795, 17"
890,"890-97827-126964-128176-438897, 11"
891,"891-76694, 2"
892,"892-60020-467624, 2"
893,"893, 0"
894,"894-455109, 3"
895,"895, 0"
896,"896-273058-449813, 7"
897,"897-39037-118450-412156, 8"
898,"898, 1"
899,"899-100639-170882, 5"
900,"900-81561, 3"
901,"901-104190-317983, 10"
902,"902-7274-157844, 6"
903,"903-30314, 3"
904,"904-22100-64357-139132, 7"
905,"905, 3"
906,"906, 3"
907,"907-453456, 1"
908,"908-116482-139397-164972, 11"
909,"909-1255-38284-96626-464474, 11"
910,"910-126531-288087-433736, 12"
911,"911, 0"
912,"912-145246-179220-481484-488385, 6"
913,"913-3904-3991-86121-205282-215696-219270-237665, 17"
914,"914, 4"
915,"915, 0"
916,"916-439740, 4"
917,"917-422985, 6"
918,"918-244409, 1"
919,"919-8550-136067-255800-261816, 11"
920,"920, 1"
921,"921-376585-444459, 4"
922,"922-249994, 6"
923,"923, 1"
924,"924-61937-109486-267326, 5"
925,"925-16251-429534, 5"
926,"926-32156-431788, 4"
927,"927-5227-10415-24381-31886-41021-42947-62704-109890-121427-156582-165693-194112-220409-231434-297737-323684-338762-351247-396970-409302-412669-483337-496168, 53"
928,"928, 1"
929,"929, 2"
930,"930, 2"
931,"931, 1"
932,"932, 3"
933,"933-7168-358304-449522, 11"
934,"934, 2"
935,"615-935-156756-170720-396128, 12"
936,"936, 1"
937,"164-937-1259-1610-12101-14883-56600-57027-76148-110666-145523-160154-282091-411076-477605, 32"
938,"938-340564, 6"
939,"939-59940-129428-169152-380751-453147-465194, 13"
940,"940-18536-495306, 4"
941,"941-82277-179963-345507-429157-446784, 15"
942,"942, 2"
943,"943-257446-296970, 3"
944,"944-123018-456280-479350, 6"
945,"945-114540, 4"
946,"946-152515, 7"
947,"947-30990-44620-50530-237238-239507, 10"
948,"948-270949, 3"
949,"949, 3"
950,"950-1479-10902-210605-227087-279738-291586-383323-409970, 23"
951,"951-218717-341555-405270, 7"
952,"952-482702, 4"
953,"953-100893-143552-151550-205140-234473-293187-297180-353282-483338-492764, 29"
954,"954, 1"
955,"955-258019-404288, 4"
956,"956-12279-118604, 3"
957,"957-138680-249248-268233-373900-491648, 8"
958,"958-42168-44071-59420-72274-83363-102796-114387-119887-227272-268019-302983-329934-349543-455436-463893, 28"
959,"959, 0"
960,"960-247253, 4"
961,"961, 0"
962,"962, 4"
963,"963, 0"
964,"964-13953-281484, 6"
965,"965, 4"
966,"966, 2"
967,"967-64910-140597-208715-268516-298014-460088, 13"
968,"968-36371, 4"
969,"969-20692-33446, 3"
970,"970-11481-175497-313830-494495, 15"
971,"971-2890-158299-311659-359073-470681-499923, 16"
972,"972-26395-66188-75443-114914-209335-275495-302572-326000-371404-386125-426836-453002-463202-484081-488567, 26"
973,"973, 1"
974,"974-468707, 4"
975,"975, 4"
976,"976-75287-141996-148164-252077-270360-384338-491221, 13"
977,"977, 4"
978,"978-52331-149879-225579-303480-486790-492578, 19"
979,"979-5698-21667-150740-151788-162138-183153-209426-296260-340064-409339-416878-492293, 30"
980,"980-93879, 1"
981,"981-2895-3859-36429-71682-97485-113575-197744-227697-251588-258544-272022-307361-309505-469842, 29"
982,"982, 3"
983,"983, 0"
984,"984, 1"
985,"985, 4"
986,"986, 3"
987,"987, 0"
988,"988-285906, 4"
989,"989-158990-225789-375182-455559, 13"
990,"990, 2"
991,"991-2944-141480-262252-496087, 7"
992,"992-27166-97073-129495-293629-359275-368404-396869-420105, 17"
993,"993-83513-146500, 6"
994,"994, 2"
995,"995-316304-341113, 8"
996,"996-3500, 5"
997,"997, 2"
998,"998-78821-387554, 6"
999,"999, 2"
